-0.001	14.005
0.015	11.665
0.031	9.404
0.046	6.941
0.063	4.794
0.105	0.946
0.144	4.005
0.165	6.688
0.189	10.530
0.202	13.635
0.224	17.131
0.273	20.986
0.301	18.862
0.325	17.168
0.336	15.069
0.350	12.842
0.369	10.112
0.378	8.114
0.389	6.370
0.449	4.826
0.471	7.621
0.482	10.293
0.493	12.417
0.509	15.376
0.533	18.149
0.565	21.301
0.620	22.651
0.664	20.716
0.674	18.521
0.686	16.339
0.697	13.713
0.709	10.942
0.716	8.066
0.732	5.213
0.786	7.054
0.806	10.280
0.823	13.788
0.838	17.468
0.898	21.249
0.925	19.045
0.946	17.065
0.965	14.680
0.984	11.104
0.997	8.065
1.012	6.039
1.061	2.721
1.133	6.472
1.149	10.154
1.184	13.025
1.239	14.205
1.270	11.993
1.303	9.697
1.350	5.861
1.407	5.806
1.445	9.077
1.477	12.302
1.514	15.156
1.576	16.054
1.622	14.351
1.686	11.406
1.742	12.377
1.786	15.537
1.817	17.924
1.857	19.881
1.911	18.918
1.936	16.685
1.966	14.166
2.027	10.492
2.085	12.382
2.114	15.740
2.139	18.009
2.191	19.047
2.211	16.900
2.241	14.371
2.260	11.965
2.278	8.976
2.290	6.621
2.301	4.595
2.362	4.393
2.391	7.369
2.407	9.796
2.428	12.212
2.445	14.543
2.469	17.953
2.529	16.493
2.540	13.956
2.554	11.777
2.573	9.344
2.581	6.521
2.612	4.262
2.642	2.476
2.675	4.842
2.706	7.176
2.721	10.096
2.742	13.498
2.753	16.704
2.808	20.691
2.831	18.843
2.851	16.638
2.873	13.852
2.892	11.694
2.916	9.300
2.930	7.044
2.981	6.865
3.008	9.992
3.030	13.020
3.043	15.225
3.062	18.099
3.098	21.436
3.145	19.993
3.165	18.005
3.191	15.591
3.209	13.196
3.239	11.066
3.275	8.493
3.315	10.347
3.335	13.065
3.362	15.006
3.377	16.692
3.438	18.218
3.484	15.552
3.497	13.617
3.523	11.493
3.541	9.028
3.599	6.839
3.652	9.790
3.680	12.086
3.724	14.730
3.762	14.958
3.794	12.885
3.826	10.399
3.854	8.020
3.885	5.810
3.942	7.342
3.963	9.718
3.989	11.857
4.008	14.045
4.057	16.578
4.075	16.308
