0.005	19.439
0.017	20.561
0.032	22.235
0.044	24.087
0.067	24.915
0.100	25.906
0.121	23.948
0.143	21.554
0.163	18.692
0.176	16.198
0.192	13.464
0.244	10.467
0.291	13.869
0.325	17.723
0.355	21.103
0.388	24.959
0.436	23.772
0.460	20.678
0.480	17.619
0.511	14.371
0.536	11.344
0.578	9.989
0.632	12.777
0.679	18.912
0.725	20.298
0.772	17.273
0.810	12.676
0.839	9.727
0.868	7.243
0.922	8.103
0.960	11.794
1.013	15.094
1.061	14.641
1.093	11.507
1.129	8.294
1.163	4.385
1.212	4.180
1.261	6.503
1.307	11.900
1.352	12.911
1.403	10.250
1.434	6.382
1.454	4.252
1.500	0.890
1.545	1.261
1.576	5.647
1.604	8.640
1.645	12.260
1.696	13.930
1.737	11.534
1.787	6.320
1.840	4.046
1.881	7.617
1.905	9.508
1.935	13.247
1.982	17.949
2.033	17.547
2.060	14.260
2.083	11.417
2.128	7.456
2.177	6.931
2.227	10.249
2.250	13.951
2.277	17.437
2.318	18.815
2.369	16.051
2.412	12.269
2.468	7.620
2.519	8.575
2.550	12.998
2.565	16.115
2.607	19.554
2.657	19.920
2.695	16.974
2.724	14.302
2.755	11.705
2.804	11.942
2.838	14.759
2.869	18.038
2.903	21.536
2.949	22.721
2.994	19.479
